id;cid;inchi_key;smiles;synonyms_ids;mixture
72;27458;GZXXANJCCWGCSV-UHFFFAOYSA-N;CCC1=NC=CN=C1CC;"[3511, 3485, 5974, 472, 3590, 1575, 6164, 3084, 973, 945]";mono
73;33135;DPCILIMHENXHQX-UHFFFAOYSA-N;CCC1=NC=CN=C1OC;"[1019, 4396, 1546, 5854, 7, 5659, 2117, 5753, 5067, 6654]";mono
74;7366;YTZKOQUCBOVLHL-UHFFFAOYSA-N;CC(C)(C)C1=CC=CC=C1;"[3858, 4398, 4579, 5126, 6954, 4254, 3323, 2696, 3881, 6666]";mono
75;85979;MYHGOWDLVRDUFA-UHFFFAOYSA-N;CC(CC=O)C1=CC=CC=C1;"[50, 2649, 683, 2973, 2105, 3253, 7229, 6137, 7267, 5321]";"sum of isomers"
76;643820;GLZPCOQZEFWAFX-YFHOEESVSA-N;"CC(=CCC/C(=C\CO)/C)C";"[4484, 3589, 2625, 1852, 3980, 6875, 2603, 1706, 2594, 5960, 2603]";mono
77;235414;FKUPPRZPSYCDRS-UHFFFAOYSA-N;C1CCCCCCCOC(=O)CCCCCC1;"[3854, 4697, 7023, 2991, 1160, 1545, 4165, 1326, 3494, 3503]";mono
78;12410118;KHLFMZDGADSQGR-ACCUITESSA-N;C1CCCCCCOC(=O)/C=C/CCCCC1;"[6285, 2790, 5214, 3229, 5383, 4381, 3612, 623, 4482, 5177, 5383]";mono
79;12348;PGMYKACGEOXYJE-UHFFFAOYSA-N;CCCCCOC(=O)C;"[6782, 3220, 2607, 6156, 3569, 4397, 1748, 6099, 4026, 833]";mono
80;7967;JHIVVAPYMSGYDF-UHFFFAOYSA-N;C1CCC(=O)CC1;"[1376, 1652, 4000, 7041, 4763, 1040, 406, 6331, 5583, 2278]";mono
81;8051;CATSNJVOTSVZJV-UHFFFAOYSA-N;CCCCCC(=O)C;"[570, 270, 3811, 322, 2104, 1535, 6329, 6881, 5522, 5989]";mono
82;7410;KWOLFJPFCHCOCG-UHFFFAOYSA-N;CC(=O)C1=CC=CC=C1;"[5926, 5476, 5958, 7138, 6882, 903, 1458, 2152, 3215, 5569]";mono
83;181287;AIVVNNYXOSPRCW-UHFFFAOYSA-N;CC1C(=NC(S1)C)C;"[5853, 7170, 2529, 5612, 239, 5847, 5251, 6436, 6341, 6484, 5853]";"sum of isomers"
84;62329;XMWRWTSZNLOZFN-UHFFFAOYSA-N;CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-];"[414, 6493, 5627, 852, 3692, 115, 2326, 2509, 2016, 3432]";mono
85;16666;NOOLISFMXDJSKH-KXUCPTDWSA-N;C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C;"[3459, 1909, 2568, 5326, 6760, 2081, 1158, 7156, 6332, 6750, 1944, 796, 6481]";mono
86;6569;ZWEHNKRNPOVVGH-UHFFFAOYSA-N;CCC(=O)C;"[4147, 3784, 4642, 2665, 4815, 5292, 1073, 4570, 5239, 3470]";mono
87;5283345;MMFCJPPRCYDLLZ-CMDGGOBGSA-N;CCCCCCC/C=C/C=O;"[4251, 1353, 5220, 3274, 5874, 6479, 5630, 5055, 6730, 509, 326, 329, 491, 3547]";mono
88;106997;KIPCKEJKGCXRGA-UHFFFAOYSA-N;CCC1(C(C2CCC1(C2)C)(C)C)O;"[1026, 2465, 995, 5818, 3993, 7213, 6011, 2601, 6359, 4663]";"sum of isomers"
89;7144;PETRWTHZSKVLRE-UHFFFAOYSA-N;CC1=CC(=C(C=C1)O)OC;"[5093, 2827, 1047, 6488, 2707, 4344, 2727, 4183, 6806, 1955]";mono
90;12587;FGKJLKRYENPLQH-UHFFFAOYSA-N;CC(C)CCC(=O)O;"[3640, 7270, 5050, 457, 2070, 3037, 3352, 870, 5401, 768]";mono
91;6852393;HFVMLYAGWXSTQI-QYXZOKGRSA-N;C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C;"[6386, 4853, 1543, 3723, 1207, 4391, 2761, 3160, 3188, 717, 2761]";mono
92;64832;FZJUFJKVIYFBSY-UHFFFAOYSA-N;CC(C)(C)C1=CC=C(C=C1)CCC=O;"[1187, 6792, 6800, 787, 2741, 6462, 661, 1939, 997, 1206, 1187]";mono
93;31272;DKPFZGUDAPQIHT-UHFFFAOYSA-N;CCCCOC(=O)C;"[3939, 4378, 23, 6138, 1792, 1693, 590, 3796, 2295, 5821]";mono
94;2758;WEEGYLXZBRQIMU-UHFFFAOYSA-N;CC1(C2CCC(O1)(CC2)C)C;"[12, 3554, 361, 3370, 1342, 6305, 2078, 184, 3548, 6706]";mono
95;5281167;UFLHIIWVXFIJGU-ARJAWSKDSA-N;"CC/C=C\CCO";"[6279, 6097, 3054, 508, 5871, 580, 3250, 3823, 4402, 4284]";mono
96;638011;WTEVQBCEXWBHNA-JXMROGBWSA-N;CC(=CCC/C(=C/C=O)/C)C;"[2725, 190, 4259, 314, 853, 2698, 4356, 3956, 5106, 5679, 5451, 3894, 853]";mono
97;8175;KSMVZQYAVGTKIV-UHFFFAOYSA-N;CCCCCCCCCC=O;"[3946, 2789, 4675, 2164, 3362, 5694, 97, 5910, 1786, 6378]";mono
98;650;QSJXEFYPDANLFS-UHFFFAOYSA-N;CC(=O)C(=O)C;"[5957, 4331, 3853, 2563, 2701, 5082, 5553, 1607, 1118, 408]";mono
99;11617;UBJVUCKUDDKUJF-UHFFFAOYSA-N;C=CCSCC=C;"[5982, 845, 3209, 7105, 2467, 2574, 6374, 2033, 5728, 5434]";mono
100;7583;USIUVYZYUHIAEV-UHFFFAOYSA-N;C1=CC=C(C=C1)OC2=CC=CC=C2;"[1016, 2373, 753, 3781, 6491, 7265, 1447, 6442, 6296, 1024]";mono
101;61014;XRHCAGNSDHCHFJ-UHFFFAOYSA-N;C1CCCCCC(=O)OCCOC(=O)CCCCC1;"[5580, 5518, 6227, 7173, 5397, 6823, 2323, 4219, 639, 426]";mono
102;7136;SCCDQYPEOIRVGX-UHFFFAOYSA-N;CC(=O)OC1=C(C=C(C=C1)CC=C)OC;"[5168, 3442, 1796, 2629, 4517, 4250, 4664, 7003, 1139, 541]";mono
